name,notes,extensionID,address,service_worker,password,homePage,pathID
"tallyHo","","hhcjkdmijcadjjnnimdllpbdmdbpbdip","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",eajafomhmkipbjmfmhebemolkcicgfmd
"verto","incorrect-balance","ljfhheiakbnocgkbobgjnbapjjmimoem","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",eamiofncoknfkefhlkdblngblpffehek
"fewcha-move","no-balance-apt","efoiogndfpgfmljcgmhbegoippbbhmec","0x99ca5cd37712b55f1162ddaa6be5a7f0a8bec3981d931e07edd6b72b5c9f44ee","service_worker","Default1Password1!","",ebfidpplhabeedpnhjnobghokpiioolj
"martian","dead","dlgencgdiodellmeaecfpdcfgehlinmk","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",efbglgofoippbgcjepnhiblaibcnclgk
"Trust-wallet","incorrect-balance","ehbkhadjlgemflmjpbhikihobhjdkncd","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",egjidjbpglichdcondbcbdnbeeppgdph
"ezDefi","incorrect-balance","ejeemacpidnaejkhpbmfkadhgjhnolaa","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",ejeemacpidnaejkhpbmfkadhgjhnolaa
"petra-aptos","no-balance-no-connection","lhndoknjfjpicimpcggdeikmcakafjjb","0xf26cbb3127abc72631e9236beacd595092126b5629ec53300e8ff1bb79f6cc5f","service_worker","Default1Password1!","",ejjladinnckdgjemekebdpeokbikhfci
"gbrick","dead","fcmllpmffkpjbjhjjhnhjoifingebkmh","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",ejnkmenlldahifdamgflbfdenbmgjmao
"walliD","incorrect-balance","pdcklpnckofpjkgpkbiommfgonmdoomb","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",eknlkogikcabnjbjnhmjllabckeapdii
"Ducky","incorrect-balance","eeehdcnhapjhhmiaenjfmdnjkpgocomg","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",engfhholkkhbcaecelniipbfjkfbfhgb
"fluent","no-balance-cfx","mmpfbgnoapoeockcejdmlaeehoglgime","cfx:aaj9pmrsgj57b4ha3nkuwg3r075zmm1dr6n0x6mckp","background_page","Default1Password1!","",eokbbaidfgdndnljmffldfgjklpjkdoi
"apechefstats","dead","ecnplfccpaldamjgabfpeejhoeohkihk","0x033a5379bc3d5edd92b9b1da762688e97cef154c","","Default1Password1!","dead",eombnimcaeeajenjolddbkkmgoljedic
"graphite","dead","iklafeiplejimbcbfkfcgbfmlkohlddn","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",fbgdgmhhhlimaanngeakidegojjbbbbm
"CoinWallet","incorrect-balance","dbhdmnhpamidiplioooicndkedbjpgam","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",fecfflganphcinpahcklgahckeohalog
"yoroi","no-balance-ada","kjohofickphdgjiabnjehdecegbcohbc","addr1qxwx235ss55x4nyecdpkpya53g8ancue52pdjl3rawd8t6gacvhg5lwc4csu4dcf5pyn6g2u7jf9vnv28sezy5xul6uscqjf9v","background_page","Default1Password1!","",ffnbelfdoeiohenkjibnmadjiehjhajb
"julwallet","incorrect-balance","gjlbchnpahakkldmmfacjcdncokpnlnj","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",fgkldlaelopgncepgpncndebgdddikii
"binancewallet","dead-inaccessible","fhbohimaelbohpjbbldcngcnapndodjp","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",fhbohimaelbohpjbbldcngcnapndodjp
"iconex","incorrect-balance","meknnnfondoddlfpdegphblfedfjccpk","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",flpiciilemghbmfalicajoolhkkenfel
"ape-chef-analysis","dead","glladnokgicdehbcbbnfaplgakbepddb","0x033a5379bc3d5edd92b9b1da762688e97cef154c","","Default1Password1!","dead",fmmpeieggljdpdpjbnlmjpmgemnokphj
"zeonwallet","dead","foekejegmfadelojjehdipbomkhdnihg","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",gbjepgaebckfidagpfeioimheabiohmg
"multi-wallet","incorrect-balance","phncifakgncohaoofclffjcnblnibcof","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",gkoaehhpdkfkjgjbnlahcneebidamclf
"Befi","incorrect-balance","pgceldlhklcklcoigdcmiphldeknpgfe","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",gmcpomojcoaopogcbhpchfpdpfaabihc
"NuFi","","hnndijojgmgoabifaphjcgapioagpajj","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",gpnihlnnodeiiaakbikldcihojploeca
"tanglePayIOTA","incorrect-balance-iota","ofopoffggonjihaecchfmhfnklhhnmcn","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",hbneiaclpaaglopiogfdhgccebncnjmc
"Smilo","dead","aeoeecidbmbnagobbjmkgogopccfjnma","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",hgnaefdmaajndddofoenholkagedjjkg
"Crypto-com","","ochfcoigbpfjemmgnmofhnpgmdnckiee","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",hifafgmccdpekplomjjkcfgodnhcellj
"btcu","customed-wallet-with-ws","dlagfbdognkicoflhdhldjdifgohfkmj","0x219d1CA1539078a3Fd8d001580E4201636bbb52F","background_page","Default1Password1!","",hihnmphnpeaonipeappnilinmgffimmh
"AroundWallet","dead","ajnjjjfhoegcmnflckaangfohcfiifke","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",hlcmhgjjiaibmpgmiijooccapcbgmpmb
"xdefi","dead","hnnkkjegoclgoolpkkccejijimajmcmp","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",hmeobnfnfcmdkdcmlblgagmfpfboieaf
"coinbase","","mdbcfjcohkhfhepknnbpnekhegkjceie","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",hnfanknocfeofbddgcijnmhnfnkdnaad
"monsta-wallet","no-balance-xMONI","iobcbgpipickbeldbkgneobelbljmjco","monsta:033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",hpbgcgmiemanfelegbndmhieiigkackl
"guarda","","ehigndophchhpeoefonkmlmpejbhhlnf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",hpglfhgfnhbgpjdenjgmdgoeiappafln
"virgo","","jlbpnmoajnckabjimkggholkjcbegcpf","0xadea1952e3dea06438e2cd576beaba9ed695da58","background_page","Default1Password1!","",ibljocddagjghmlpgihahamcghfggcjc
"Sage","dead","gemphaamgiopboimjcffomkbjobdllka","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",ihdpgdlddojmmkaokmnfdcdlooialppg
"ganasX","dead","agmjamekkcdfoncgdiceajdflmnnmbdp","0x033a5379bc3d5edd92b9b1da762688e97cef154c","","Default1Password1!","dead",ingkckkjpaglapdgkgkdpinjbcgplpim
"crust","no-balance-cru","iponemafmedlhgdjkglkmaglioiahiof","cTLpmwv7e7a8vPzfCjgsRPngZGokbfkXzuTpiKfTjwGFE5aAH","background_page","Default1Password1!","",jccapkebeeiajkkdemacblkjhhhboiek
"ethereum-all-in-one","no-balance-cant-configure-address","kojegbmdmoijbmnkfdgimphpcndboogi","none","background_page","Default1Password1!","",jedgfcnbkbgiheojcfkbphplgkhgppgf
"Bitkeep","","fkfaldlcmjklkplccpmfnniajknhbpdo","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",jiidiaalihmmhddjgbnbgdfflelocpak
"timebit","incorrect-balance-multi-chain-see-balance","hnpjdkkceoodbjfapagodaingddhnhdf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",jlndlpbebijghakonleejcjmlfajbklf
"braavos","incorrect-balance","kjmikommcalpkomeedfihoenegmianbd","0x048937259c67a92ae835f279d21906bf6ee3a4ff51cebf04faba8bcf6238279e","service_worker","Default1Password1!","",jnlgamecbpmbajjfhmmmlhejkemejdma
"didux","no-balance-XD","eccppmepiphjobccabnlnobeeghamgpi","0x435A39CD09Ee860eD7534c17Ca3279E250eBE567","background_page","Default1Password1!","",kegphppmeiokknlbcaoojlmgkhgiaoho
"atcrypto","dead","nnhmnjipjklopcdilanikfifbiapleeg","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",khhipdmcpafpgagjllphlmjicpmndace
"suiet","no-balance-SUI","apoipepamnejifbgabpbcpjnllhapnlb","0x5022bdce3f0ab25c41385e731f1541b01fc12ed1","service_worker","Default1Password1!","",khpkpbbcccdmmclmpigdgddabeilkdpd
"celo-extension","no-balance-celo","adbppafnfknamfagodjffkgnfnjgpocg","0xEC41D0a4e8379389485C797B097aBFbD7FD8E5c6","background_page","Default1Password1!","",kkilomkmpmkbdnfelcpgckmpcaemjcdh
"enkrypt","","admplfjkjlkfonchifcgcpbhiadclmdc","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",kkpllkodjeloidieedojogacfhpaihoh
"eternl","no-balance","jdcpocbopklnbeeikmldgbgkpbjfojga","addr1qy57sfzcxwujvjh80fuvs2lv3cgsmmuddh2k0axdeeahjvf6hu4vvw38r2sa9qkzr5w29lzyar6rdu07944tdfx3uy9q9hk0cu","background_page","P@ssw0rd_eternl","",kmhcihpebfmpgmihbkipmjlmmioameka
"liquality","","felhjediijcdjjdicpigahpcncdohgno","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",kpfopkelmapcoipemfendmdcghnegimn
"frameCompanion","dead","miofjilnadhpfclndnlkdbpodahibngf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","dead",ldcoohedfbjoobcadoglnnmmfbdlmmhf
"safePal","dead","difmmjmnalhfnheggcihahcijeodmabk","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",lgmpcpglpngdoalbgeoldeajfclnhafa
"glass-wallet-sui","no-balance-sui","nkehopilkmdopbckdhpeiffamolgibea","0x5022bdce3f0ab25c41385e731f1541b01fc12ed1","service_worker","Default1Password1!","",loinekcabhlmhjjbocijdoimmejangoa
"nami","no-balance-customed-token","cgkbfjgmcnnlbeinjcefiheabpkjgoml","addr1q9w7myy7wy7xzeka4nsntv63egtc8752fecpe4mkctnmx98vgetk0ehsewdga8tmz7hg5fp9y9kexvth8r602ere94hse95lzm","background_page","Default1Password1!","",lpfcbjknijpeeillifnkikgncikgfhdo
"bifrost","","omghmlpeogopjkkbjfijobfmbmljkemn","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",mapbhaebnddapnmifbbkgeedkeplgjmf
"ethos-sui","dead","ppbbgnkmcpnebaaopfbkkgehejmlfihj","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",mcbigmjiafegjnnogedioegffbooigli
"okx","dead","ghoeoplmhpliehniglgbfaaimfdeblnb","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",mcohilncbfahbmgdjkbpemcciiolgcge
"nekoMask","dead","hcmfdhehekpphiacbkdiphgknjghallc","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",mhahfjfaecbglhbenicolhfpbiampomj
"bee-wallet","dead","lbbljpebhlnaoieinocboepkdafjhgll","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",nankopfjhdflikcokhgohiaoehnjfako
"kucoin","dead","dglgecbkhkdfobhgblekleknblkoomjf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",nbdpmlhambbdkhkmbfpljckjcmgibalo
"ape-chef-autobidder","dead","ahahffmddbfhiecaclcfcocanngahhce","0x033a5379bc3d5edd92b9b1da762688e97cef154c","","Default1Password1!","dead",nejflidlpijnkcbjcoddpmoohlcmlgfe
"g-u-wallet","dead","ppgonlhkjoobahofghineifldmcddihm","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nfinomegcaccbhchhgflladpfbajihdf
"clover","no-balance-sol","endgdcioeiiejalabindmdpfljljndlg","DBLwsdi5eh6gjsCq4ENGmsoawsz8vmhYvaiBaYooJWWx","background_page","Default1Password1!","",nhnkbkgjikgcigadomkphalanndcapjk
"almanack","","hgaikjnpckiocmlhahebgbfmikgofhbg","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",niifiippnpofklilmnnafmhjelgpoagk
"metamask","","nopkinkmioiaijdjgkdocdedmkgenkem","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nkbihfbeogaeaoehlefnkodbefgpgknn
"permission-extension","dead","llhnbpdphoadconoeklcifmmojhnninn","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nkfpegmmhcipdkgoiimdegfaicbdnndh
"Nabox","","lghcedhhilpmlaipekaooifhlpoapaof","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nknhiehlklippafakaeklbeglecifhad
"mewCx","dead","ejhfnfhpkpbbelkjemhhecbihipefefn","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nlbmnnijcnlegkjjpcfjclmcfggfefdm
"multi-wallet","dead","fdljnceenlclddoeadiikhokihidcihk","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",nlgnepoeokdfodgjkjiblkadkjbdfmgd
"wallet-with-marketmaking","dead","jjkggdkoefancjpdobeilmenbnihlfhe","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",oldojieloelkkfeacfinhcngmbkepnlm
"medium","incorrect-balance","djggeaejehfghhgcgmkjgfkcmnmjofaf","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",olkbchllhcflpbjfgagahpkjnjioiedg
"sui-wallet","dead","nlmdbfahieinbinclhgllaookhagohce","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",opcgpfmipidbgpenhmajoajpbobppdil
"wumbo","dead","cndonpbdhinklngjhlmddehjkodnioii","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","dead",opmfbcncfajkanpggglkgabbfhebgikk
"kardiaChain","dead","hckoanlohpkldgmkflpcabebkcjjnfii","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",pdadjkfkgcafgbceimcpbkalnfnepbnk
"gc-wallet","no-balance-bnb","chkaflnnajhaeehhgncpoodndddofjei","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",pdbmaddchfbbbbkaehgkinciknkichna
"stargazer","dead","imhdpbkfjpchnpifmpeddnjbaboacama","0x033a5379bc3d5edd92b9b1da762688e97cef154c","background_page","Default1Password1!","",pgiaagfkgcbnmiiolekcfmljdagdhlcm
"pontem-aptos-wallet","dead","pjhfcmohcnffmephmgfkbikogppphffh","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",phkbamefinggmakgklpkljjmgibohnba
"gamestop","","gdhkjmdipagehbdfioindmijmehmapje","0x033a5379bc3d5edd92b9b1da762688e97cef154c","service_worker","Default1Password1!","",pkkjjapmlcncipeecdmlhaipahfdphkd
